time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,325,89,708,259
2026-07-04 00:00:00+00:00,223,69,532,219
2026-07-05 00:00:00+00:00,301,79,626,239
2026-07-06 00:00:00+00:00,342,109,820,237
2026-07-07 00:00:00+00:00,569,101,776,259
2026-07-08 00:00:00+00:00,277,81,623,280
2026-07-09 00:00:00+00:00,307,82,590,224
2026-07-10 00:00:00+00:00,228,66,530,196
2026-07-11 00:00:00+00:00,226,65,567,218
2026-07-12 00:00:00+00:00,423,83,633,267
2026-07-13 00:00:00+00:00,342,94,478,191
2026-07-14 00:00:00+00:00,433,112,546,207
2026-07-15 00:00:00+00:00,354,80,436,202
2026-07-16 00:00:00+00:00,715,105,357,150
